title,url,source,year_month,topic,tier,summary,rationale
"Introducing advanced tool use on the Claude Developer Platform","https://www.anthropic.com/engineering/advanced-tool-use","Anthropic Engineering","2025-11","foundational-concepts","A","Tool Search Tool, Programmatic Tool Calling, and Tool Use Examples — three features that together cut token usage up to 85% on complex agents.","Explains the new tool-use primitives shaping how agents are wired."
"The 'think' tool: Enabling Claude to stop and think in complex tool use","https://www.anthropic.com/engineering/claude-think-tool","Anthropic Engineering","2025-03","foundational-concepts","A","Adding a no-op think tool as scratch space gives Claude a 54% relative gain on τ-Bench airline tasks. Mid-loop reflection distinct from extended thinking which runs before generation.","Tiny intervention, large effect; classic high-leverage trick."
"Raising the bar on SWE-bench Verified with Claude 3.5 Sonnet","https://www.anthropic.com/engineering/swe-bench-sonnet","Anthropic Engineering","2025-01","adjacent-coding-or-computer-use","A","Erik Schluntz walks through a deliberately minimal agent (Bash + file editor) that hit SOTA on SWE-bench Verified. Showcases the 'less harness, more model' thesis.","Pairs with Building Effective Agents; demonstrates minimalism wins."
"Claude Code auto mode: a safer way to skip permissions","https://www.anthropic.com/engineering/claude-code-auto-mode","Anthropic Engineering","2026-03","adjacent-coding-or-computer-use","B","Classifier-based auto-approval for safe actions with two-layer defenses against dangerous commands.","Useful if focused on coding-agent autonomy/UX design."
"Building a C compiler with a team of parallel Claudes","https://www.anthropic.com/engineering/building-c-compiler","Anthropic Engineering","2026-02","harness/loops","A","16 parallel Claudes coordinate via tests and synchronization to bootstrap a Rust-based C compiler that builds the Linux kernel.","Concrete multi-agent case study with real ambition."
"Eval awareness in Claude Opus 4.6's BrowseComp performance","https://www.anthropic.com/engineering/eval-awareness-browsecomp","Anthropic Engineering","2026-03","foundational-concepts","B","First documented case of a model recognizing it's being evaluated and locating the answer key. Implications for benchmark integrity.","Interesting for evals/alignment angle but niche."
"Introducing the Model Context Protocol","https://www.anthropic.com/news/model-context-protocol","Anthropic","2024-11","foundational-concepts","S","Launch post for MCP, the open standard for connecting LLMs to tools and data via JSON-RPC. The entire MCP ecosystem stems from this.","Foundational background; required reading before any MCP discussion."
"Introducing computer use, Claude 3.5 Sonnet, and Claude 3.5 Haiku","https://www.anthropic.com/news/3-5-models-and-computer-use","Anthropic","2024-10","adjacent-coding-or-computer-use","A","First production computer-use API — model drives a screen via screenshots and tool calls. The pattern other labs are now copying.","Required context for any computer-use work."
"New capabilities for building agents on the Anthropic API","https://www.anthropic.com/news/agent-capabilities-api","Anthropic","2025-05","production-deployment","B","Bundle launch covering code execution, MCP connector, Files API, and 1-hour prompt caching — the API surface most production agents now use.","Reference for the production API capability set."
"Claude 3.7 Sonnet and Claude Code","https://www.anthropic.com/news/claude-3-7-sonnet","Anthropic","2025-02","adjacent-coding-or-computer-use","B","First hybrid reasoning model with visible extended thinking and the original public Claude Code launch.","Light on engineering depth but important historical context."
"Prompt caching with Claude","https://claude.com/blog/prompt-caching","Anthropic","2024-08","foundational-concepts","S","Official guide to prompt caching: how to structure prompts so repeated context hits cache, with up-to-90% cost and 85% latency reductions.","Foundational reference for any agent re-using system prompts/tools across calls."
"Introducing Contextual Retrieval","https://www.anthropic.com/engineering/contextual-retrieval","Anthropic Engineering","2024-09","foundational-concepts","A","Prepend a model-generated context blurb to each chunk before embedding; 49% fewer retrieval failures, 67% with reranking.","Concrete, measured RAG advance applicable to any agent doing retrieval."
"Claude's extended thinking","https://www.anthropic.com/research/visible-extended-thinking","Anthropic","2025-02","foundational-concepts","S","Introduces Claude 3.7's extended thinking with developer-controllable thinking budget, plus parallel test-time compute results.","Must-read reasoning anchor; defines thinking-as-a-knob in agent loops."
"Sabotage Evaluations for Frontier Models","https://www.anthropic.com/research/sabotage-evaluations","Anthropic Research","2024-10","foundational-concepts","B","Four sabotage threat models (decision sabotage, code sabotage, sandbagging, undermining oversight) and how to test for them.","Useful safety framing for teams deploying capable agents."
"Agentic Misalignment: How LLMs Could Be Insider Threats","https://www.anthropic.com/research/agentic-misalignment","Anthropic Research","2025-06","foundational-concepts","A","Stress-tests 16 frontier models; finds blackmail/espionage behaviors emerge when agent goals conflict with shutdown or company direction.","Sobering input for permission/oversight design."
"A practical guide to building agents","https://cdn.openai.com/business-guides-and-resources/a-practical-guide-to-building-agents.pdf","OpenAI","2025-04","foundational-concepts","S","OpenAI's flagship PDF on when/why to build agents, single vs multi-agent topologies, guardrails, and orchestration using Responses API + Agents SDK.","Counterpart to Anthropic's Building Effective Agents; vendor-neutral enough to be useful."
"Build an Agent Improvement Loop with Traces, Evals, and Codex","https://developers.openai.com/cookbook/examples/agents_sdk/agent_improvement_loop","OpenAI Cookbook","2026-05","foundational-concepts","A","Traces → human/LLM feedback → reusable evals → Codex-driven harness changes, demonstrated on a financial-diligence agent.","Best concrete eval-loop example from OpenAI."
"Build iterative repair loops with Codex","https://developers.openai.com/cookbook/examples/codex/build_iterative_repair_loops_with_codex","OpenAI Cookbook","2026-05","harness/loops","A","Produce → validate → repair loop using Codex to fix stale docs with structured data exchanged between phases.","Clean reference implementation of a self-repair loop."
"Multi-agent portfolio collaboration with the Agents SDK","https://developers.openai.com/cookbook/examples/agents_sdk/multi-agent-portfolio-collaboration/multi_agent_portfolio_collaboration","OpenAI Cookbook","2025-05","harness/loops","A","Agents-as-tools pattern with a Portfolio Manager orchestrating macro/fundamental/quant specialists, mixing function tools, hosted tools, and MCP.","Canonical multi-agent OpenAI example."
"Parallel agents with the OpenAI Agents SDK","https://developers.openai.com/cookbook/examples/agents_sdk/parallel_agents","OpenAI Cookbook","2025-05","harness/loops","B","Two parallelization patterns — asyncio.gather vs agents-as-tools — for fan-out/fan-in workflows, with latency/planning tradeoffs.","Useful when latency matters."
"Automating dispute management with the Agents SDK and Stripe","https://developers.openai.com/cookbook/examples/agents_sdk/dispute_agent","OpenAI Cookbook","2025-03","production-deployment","B","Triage → acceptance → investigator handoff chain operating against the real Stripe API.","Good template for finance/ops agent deployments."
"Introduction to Deep Research in the OpenAI API","https://developers.openai.com/cookbook/examples/deep_research_api/introduction_to_deep_research_api","OpenAI Cookbook","2025-06","adjacent-coding-or-computer-use","A","How to drive o3-deep-research via Responses API, including controlling prompts and inspecting intermediate reasoning.","Practical handle on Deep Research internals."
"Building a voice assistant with the Agents SDK","https://developers.openai.com/cookbook/examples/agents_sdk/app_assistant_voice_agents","OpenAI Cookbook","2025-03","production-deployment","B","Triage agent routing to specialist agents wrapped with voice I/O — covers the Responses API + Agents SDK + voice extensions stack.","Useful if voice/real-time agents are in scope."
"Using reasoning for routine generation","https://developers.openai.com/cookbook/examples/o1/using_reasoning_for_routine_generation","OpenAI Cookbook","2024-09","foundational-concepts","B","Uses o1 to compile policy/KB docs into executable agent routines with conditional logic and function calls.","Clever 'compile prose into agent code' pattern."
"Introducing Gemini 2.0: our new AI model for the agentic era","https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/","Google / DeepMind","2024-12","adjacent-coding-or-computer-use","A","The original Project Astra / Project Mariner / Jules announcement plus Multimodal Live API.","Required context for Google's agent stack."
"Introducing Agent Executor, Google's distributed Agent Runtime","https://cloud.google.com/blog/products/ai-machine-learning/agent-executor-googles-distributed-agent-runtime","Google Cloud","2026-05","production-deployment","A","Open-source runtime for durable, resumable, sandboxed, distributed agent execution. Integrates with ADK, LangGraph, A2A.","Best open look at a production agent runtime."
"Agent Sandbox on GKE + first look at Agent Substrate","https://cloud.google.com/blog/products/containers-kubernetes/bringing-you-agent-sandbox-on-gke-and-agent-substrate","Google Cloud","2026-05","production-deployment","B","GA of pod-snapshot-backed sandboxes for agent workloads plus Agent Substrate, a Kubernetes-native control plane for millions of agents.","Useful if deploying agents on K8s."
"ReasoningBank: enabling agents to learn from experience","https://research.google/blog/reasoningbank-enabling-agents-to-learn-from-experience/","Google Research","2026-04","foundational-concepts","A","Memory framework that distills strategies from both successful and failed trajectories so agents improve post-deployment.","Best recent take on agent memory from a major lab."
"Magentic-One: a generalist multi-agent system for solving complex tasks","https://www.microsoft.com/en-us/research/blog/magentic-one-a-generalist-multi-agent-system-for-solving-complex-tasks/","Microsoft Research","2024-11","harness/loops","A","Orchestrator + WebSurfer/FileSurfer/Coder/ComputerTerminal architecture with dual task+progress ledgers. Open-source on AutoGen.","Strong multi-agent architecture reference from MSR."
"Red-teaming a network of agents","https://www.microsoft.com/en-us/research/blog/red-teaming-a-network-of-agents-understanding-what-breaks-when-ai-agents-interact-at-scale/","Microsoft Research","2026-04","production-deployment","A","Live red-team of 100+ interacting agents surfaces self-propagating worms, reputation hijacks, Sybil consensus, proxy chains.","Uniquely concrete agent-security data."
"SocialReasoning-Bench: do agents act in users' best interests","https://www.microsoft.com/en-us/research/blog/socialreasoning-bench-measuring-whether-ai-agents-act-in-users-best-interests/","Microsoft Research","2026-05","foundational-concepts","B","Eval framework showing frontier agents complete negotiation tasks but leave value on the table for the user they represent.","Useful eval-design reference."
"MagenticLite, MagenticBrain, Fara1.5: agents on small models","https://www.microsoft.com/en-us/research/blog/magenticlite-magenticbrain-fara1-5-an-agentic-experience-optimized-for-small-models/","Microsoft Research","2026-05","harness/loops","B","Argues effective agents come more from tool orchestration than model size; ships a small-model agent stack across browser + filesystem.","Counter-narrative on model-size scaling."
"From local to production: developer journey for building AI agents","https://devblogs.microsoft.com/foundry/from-local-to-production-the-complete-developer-journey-for-building-composing-and-deploying-ai-agents/","Microsoft Foundry","2026-04","production-deployment","B","Microsoft Agent Framework v1.0 end-to-end: local build → multi-agent → memory → toolbox → hosted runtime → observability → M365 publish.","Microsoft's official prod-deploy playbook."
"Introducing hosted agents in Foundry Agent Service","https://devblogs.microsoft.com/foundry/introducing-the-new-hosted-agents-in-foundry-agent-service-secure-scalable-compute-built-for-agents/","Microsoft Foundry","2026-04","production-deployment","B","Per-session-isolated sandboxes with filesystem persistence, scale-to-zero economics, enterprise identity.","Production deployment reference for Azure-based agents."
"The era of 'AI as text' is over. Execution is the new interface.","https://github.blog/ai-and-ml/github-copilot/the-era-of-ai-as-text-is-over-execution-is-the-new-interface/","GitHub Blog","2026-03","foundational-concepts","B","Frames the shift from chat to programmable agentic execution and introduces the Copilot SDK as the embedding surface.","Useful framing post."
"How Squad runs coordinated AI agents inside your repository","https://github.blog/ai-and-ml/github-copilot/how-squad-runs-coordinated-ai-agents-inside-your-repository/","GitHub Blog","2026-03","harness/loops","A","Repository-native multi-agent orchestration: drop-box decisions.md pattern, context replication across calls, repo-file memory.","Fresh take on repo-grounded multi-agent design."
"Validating agentic behavior when 'correct' isn't deterministic","https://github.blog/ai-and-ml/generative-ai/validating-agentic-behavior-when-correct-isnt-deterministic/","GitHub Blog","2026-05","foundational-concepts","A","'Trust Layer' uses compiler-theory dominator analysis to validate non-deterministic agent traces; 100% accuracy vs 82% for agent self-grading on VS Code automation.","Novel and concrete eval methodology."
"Improving token efficiency in GitHub Agentic Workflows","https://github.blog/ai-and-ml/github-copilot/improving-token-efficiency-in-github-agentic-workflows/","GitHub Blog","2026-05","production-deployment","A","Automated audits + replacing MCP calls with deterministic CLI commands cut tokens 19-62% across production PR workflows without quality loss.","Rare cost-engineering depth."
"Agent pull requests are everywhere. Here's how to review them.","https://github.blog/ai-and-ml/generative-ai/agent-pull-requests-are-everywhere-heres-how-to-review-them/","GitHub Blog","2026-05","production-deployment","B","Five failure modes of agent-generated PRs (CI gaming, code reuse blindness, hallucinated correctness, agentic ghosting, untrusted-input workflows) and a review checklist.","Practical operational reading for teams accepting agent PRs."
"Building a general-purpose accessibility agent — and what we learned","https://github.blog/ai-and-ml/github-copilot/building-a-general-purpose-accessibility-agent-and-what-we-learned-in-the-process/","GitHub Blog","2026-05","production-deployment","B","Case study from 3,535 PRs reviewed at 68% resolution: scope constraints, prompt structure, high-leverage remediations.","Solid deployment retrospective."
"Agent-driven development in Copilot Applied Science","https://github.blog/ai-and-ml/github-copilot/agent-driven-development-in-copilot-applied-science/","GitHub Blog","2026-03","adjacent-coding-or-computer-use","B","First-person account of shipping 11 agents and thousands of LOC in three days; conversational prompting, clean architecture, blameless iteration.","Useful taste/process post."
"Don't Build Multi-Agents","https://cognition.ai/blog/dont-build-multi-agents","Cognition","2025-06","foundational-concepts","S","Argues parallel multi-agent architectures fragment decision-making and lose context; advocates single-threaded agents that share complete traces. Two principles ('share context', 'actions carry implicit decisions') are now the default frame for multi-agent skepticism.","Must-read contrarian; THE counterweight to Anthropic's multi-agent essay."
"Multi-Agents: What's Actually Working","https://cognition.ai/blog/multi-agents-working","Cognition","2026-04","harness/loops","S","Follow-up to Don't Build Multi-Agents: successful patterns are single-threaded writers with auxiliary agents contributing intelligence (generator-verifier loops, capability routing between frontier models).","Completes the Cognition multi-agent arc with what now actually works."
"What We Learned Building Cloud Agents","https://cognition.ai/blog/what-we-learned-building-cloud-agents","Cognition","2026-04","production-deployment","S","VM-level isolation (not containers), aggressive state snapshotting for async gaps, orchestration infra for hundreds of concurrent Devin sessions per org.","Rare deep look at cloud-agent infrastructure."
"Why We Built Our Own Background Agent","https://builders.ramp.com/post/why-we-built-our-background-agent","Ramp","2026-01","production-deployment","S","Built Inspect, a hosted coding agent on Modal sandboxes + Cloudflare Durable Objects + OpenCode. Key lesson: an internally-owned agent that 'only has to work on your code' beats off-the-shelf tools.","Ramp's flagship agent-infra post."
"How To Build Agents Users Can Trust","https://builders.ramp.com/post/how-to-build-agents-users-can-trust","Ramp","2025-07","production-deployment","S","Engineering principles from an expense-approval agent: reasoning + citations, escape hatches when uncertain, suggestion-before-action onramp, eval-driven iteration.","Best Ramp piece on user-facing agent UX."
"We proactively fixed ~100 security issues in 6 days with 0 humans","https://builders.ramp.com/post/100-vulnerabilities-patched-with-0-humans","Ramp","2026-02","harness/loops","A","Detector → manager (critic) → validator → fixer pipeline patched ~100 real vulnerabilities in a week.","Strong agentic-security case study with internal context advantage."
"Financial Benchmarks","https://builders.ramp.com/post/financial-benchmarks","Ramp","2026-03","production-deployment","A","Built domain-specific evals (invoice extraction, policy review, accounting categorization) because public benchmarks don't predict production performance. No single model wins.","Eval-from-the-trenches story."
"Building Ramp's MCP server","https://builders.ramp.com/post/ramp-mcp","Ramp","2025-03","production-deployment","A","Walks through designing an MCP server exposing Ramp resources to LLMs — authorization, schema design, what to expose vs hide.","Early, practical MCP-server engineering writeup."
"Automation, Squared","https://builders.ramp.com/post/automating-automation","Ramp","2025-08","harness/loops","B","Agents that learn directly from a single human screen recording and generalize the workflow.","Interesting pattern, narrower use case."
"What we learned building agents at Vercel","https://vercel.com/blog/what-we-learned-building-agents-at-vercel","Vercel","2025-11","production-deployment","S","Hunt for high-ROI agentic projects by asking employees which routine work they hate, then build HITL workflows. Lead-qualification agent took the team from 10 people to 1.","Concise playbook for picking agent targets."
"We removed 80% of our agent's tools","https://vercel.com/blog/we-removed-80-percent-of-our-agents-tools","Vercel","2025-12","harness/loops","S","Replaced 15+ specialized text-to-SQL tools with bash + filesystem access: 3.5x faster, 37% fewer tokens, 100% success (from 80%). The 'bash is all you need' thesis in practice.","Sharp, counterintuitive war story with clean numbers."
"How to build agents with filesystems and bash","https://vercel.com/blog/how-to-build-agents-with-filesystems-and-bash","Vercel","2026-01","harness/loops","A","Pattern guide for tool minimalism: give the agent a sandboxed FS + bash, let it compose tools as scripts.","Companion to 'We removed 80% of our tools'; the design pattern explainer."
"How we made v0 an effective coding agent","https://vercel.com/blog/how-we-made-v0-an-effective-coding-agent","Vercel","2026-01","harness/loops","A","Three-part pipeline: dynamic system prompts injecting current framework knowledge, 'LLM Suspense' for streaming correction, multi-file autofixers. Double-digit success-rate gains.","Concrete coding-agent harness mechanics."
"Continually improving our agent harness","https://cursor.com/blog/continually-improving-agent-harness","Cursor","2026-04","harness/loops","S","Evolved from static context-engineering to dynamic in-loop context fetching, measured via CursorBench (offline) + Keep Rate (online). Anomaly-detection alerts cut tool-call errors ~10x.","Best public harness-iteration story."
"What we've learned building cloud agents (Cursor)","https://cursor.com/blog/cloud-agent-lessons","Cursor","2026-05","production-deployment","S","Migration to Temporal for durable execution, decoupling agent logic from VM/conversation state, proper dev environments for long-running agents.","Pairs perfectly with Cognition's cloud-agents post."
"Build programmatic agents with the Cursor SDK","https://cursor.com/blog/typescript-sdk","Cursor","2026-04","production-deployment","B","TypeScript SDK exposes Cursor's runtime, harness, and codebase-indexing context to external developers.","Useful if building on the Cursor stack."
"Speeding up GPU kernels by 38% with a multi-agent system","https://cursor.com/blog/multi-agent-kernels","Cursor","2026-04","adjacent-coding-or-computer-use","A","235 CUDA kernels for Blackwell autonomously optimized over three weeks, 38% geometric-mean speedup.","Strong contrast/counterpoint post to Cognition's anti-multi-agent stance for narrow optimization domains."
"Why coding agents fail in large codebases (and what to do about it)","https://sourcegraph.com/blog/why-coding-agents-fail-large-codebases","Sourcegraph","2026-05","harness/loops","S","1,281 agent runs across 40+ repos uncover five repeatable failure modes; bottleneck is retrieval infra, not model capability. 89 seconds with indexing vs >1 hour with basic file access.","Biggest empirical study in the category."
"Lessons on UX, security, and scale when building a Slack agent","https://sourcegraph.com/blog/deep-search-slack-agent-lessons","Sourcegraph","2026-05","production-deployment","A","Deep Search as a Slack agent: enterprise auth, rate limiting, conversational UX failure modes.","Concrete enterprise integration retro."
"Can AI agents build real Stripe integrations? A benchmark","https://stripe.com/blog/can-ai-agents-build-real-stripe-integrations","Stripe","2026-03","production-deployment","A","11 real integration environments as an eval harness; Claude Opus 4.5 hit 92% on 4 full-stack tasks.","How a payments company evaluates agents on its own surface area."
"Flow generation through natural language: an agentic modeling approach","https://shopify.engineering/fine-tuning-agent-shopify-flow","Shopify","2026-04","production-deployment","A","Fine-tuned Qwen3-32B on synthetic data + a Python intermediate representation: 2.2x faster, 68% cheaper than closed models. LLM-judge eval feeding weekly retraining.","Fine-tuning + eval flywheel in production."
"What we learned during the Custom Agents beta","https://www.notion.com/blog/what-we-learned-during-the-custom-agents-beta","Notion","2026-05","production-deployment","A","1M+ custom agents created in two months; credits-based pricing, per-agent credit caps, lighter models cutting cost up to 50%.","Real product-side learnings from operating an agent platform at scale."
"The coding agent behind 60% of Ramp's merged PRs","https://linear.app/customers/ramp","Linear","2026-04","production-deployment","A","Ramp's Inspect agent now authors 60%+ of merged PRs, integrated via Linear; non-engineers (design, PM) ship code changes through it.","Outside view of Ramp's coding-agent rollout."
"Closing the verification loop: observability-driven harnesses for agents","https://www.datadoghq.com/blog/ai/harness-first-agents/","Datadog","2026-03","harness/loops","S","Argues for harness-first agent development: deterministic tests + formal verification + observability feedback let agents iterate faster than humans can review.","Defines vocabulary the rest of the field is adopting."
"Agent Timeline: The Flight Recorder for Your AI Agents","https://www.honeycomb.io/blog/agent-timeline-flight-recorder-for-your-ai-agents","Honeycomb","2026-05","production-deployment","A","Telemetry organized around agent conversations: drill from any GenAI span into full backend trace.","Concrete take on what agent observability should actually surface."
"4,063 errors closed without a human opening PostHog","https://posthog.com/blog/agents-closed-4063-errors","PostHog","2026-05","production-deployment","A","Error-triage agents auto-resolved 4k+ issues; key lesson: specialized tools per workflow beat combined endpoints.","Concrete numbers + tool-design lesson."
"Beyond Latency: The Art of Building a Truly Great Voice Agent","https://decagon.ai/blog/beyond-latency-the-art-of-building-a-truly-great-voice-agent","Decagon","2026-04","production-deployment","A","Voice-agent quality is about conversation design and graceful error recovery, not just sub-second TTS/STT.","Best Decagon piece for category breadth."
"How Decagon shipped real-time voice AI on Modal","https://decagon.ai/blog/real-time-voice-ai-on-modal","Decagon","2025-11","production-deployment","B","Voice agent stack on Modal sandboxes — latency budget, infra tradeoffs, why they chose Modal over k8s.","Useful if building voice agents."
"Context engineering: the key to great agents","https://sierra.ai/blog/context-engineering-the-key-to-great-agents","Sierra","2026-05","foundational-concepts","A","Argues 'right context at right time' via progressive disclosure beats stuffing everything in.","Sierra's articulation of context engineering as the discipline."
"Anatomy of a Context Window: A Guide to Context Engineering","https://www.letta.com/blog/guide-to-context-engineering","Letta","2025-07","foundational-concepts","S","Decomposes context into six components (system prompt, tool schemas, metadata, memory blocks, files, message buffer) and models the agent as an LLM-OS.","Best taxonomy of what's actually in the context window."
"Open-Sourcing Harvey's Long Horizon Legal Agent Benchmark","https://www.harvey.ai/blog/introducing-harveys-legal-agent-benchmark","Harvey","2026-05","production-deployment","A","Open-sourced LAB: 1,200+ tasks, 24 legal practice areas, 75k+ expert rubric criteria.","High bar for vertical-agent evals."
"3 Principles for Designing Agent Skills","https://engineering.block.xyz/blog/3-principles-for-designing-agent-skills","Block (Goose)","2026-02","harness/loops","A","What agents should NOT decide (push to deterministic scripts), what they SHOULD handle (interpretation), and write constitutional constraints not suggestions.","Clean prescriptive heuristics from Block's Goose team."
"Protecting Our Systems with Intelligence","https://engineering.block.xyz/blog/protecting-our-systems-with-intelligence","Block","2026-04","production-deployment","B","Agentic reviewers as system guardians: agents that police changes to maintain reliability.","Production deployment writeup from a regulated environment."
"Evaluating agents","https://www.braintrust.dev/blog/evaluating-agents","Braintrust","2025-01","foundational-concepts","A","Long-form guide to agent-specific eval design — metrics, scorers, patterns from augmented-LLM up to autonomous agents — with code.","Best single-vendor agent-eval walkthrough."
"Five hard-learned lessons about AI evals","https://www.braintrust.dev/blog/five-lessons-evals","Braintrust","2025-07","production-deployment","A","Five painful lessons (LLM judges drift, test data ages, online > offline, etc.). Short and high signal-per-word.","Opinionated, scannable; great companion to Hamel's evals canon."
"The canonical agent architecture: A while loop with tools","https://www.braintrust.dev/blog/agent-while-loop","Braintrust","2025-08","foundational-concepts","A","Distills Claude Code and OpenAI Agents SDK into one pattern: a while loop calling tools, where 80% of what the agent sees is tool output. Argues tool-output engineering is as important as prompt engineering.","Strong mental model; one of the cleanest 'what is an agent' framings."
"Your AI Product Needs Evals","https://hamel.dev/blog/posts/evals/","Hamel Husain","2024-03","foundational-concepts","S","Three-tiered eval framework (unit tests, human/LLM judges, A/B), illustrated with real assistant Lucy at Rechat. Argues evals — not prompt engineering — determine product success.","The seminal evals manifesto cited everywhere."
"LLM Evals: Everything You Need to Know (FAQ)","https://hamel.dev/blog/posts/evals-faq/","Hamel Husain & Shreya Shankar","2026-01","production-deployment","S","Comprehensive FAQ from teaching 700+ engineers/PMs covering fundamentals, error analysis, human annotation, tooling, production, domain-specific applications.","Combined Hamel/Shreya is the definitive evals reference."
"A Field Guide to Rapidly Improving AI Products","https://hamel.dev/blog/posts/field-guide/","Hamel Husain","2025-03","production-deployment","S","Six practices for iterating on AI products: error analysis on real data, custom data viewers, domain-expert involvement, synthetic data early, trustworthy evals, experiment-driven roadmaps.","Practical playbook with measurable workflows."
"Using LLM-as-a-Judge for Evaluation: A Complete Guide","https://hamel.dev/blog/posts/llm-judge/","Hamel Husain","2024-10","foundational-concepts","S","'Critique Shadowing': domain experts make binary pass/fail judgments with critiques, then those train an aligned LLM judge. Avoids arbitrary multi-point Likert scales.","Canonical LLM-judge method."
"Reward Hacking in Reinforcement Learning","https://lilianweng.github.io/posts/2024-11-28-reward-hacking/","Lilian Weng","2024-11","foundational-concepts","S","Survey of how RL agents (and RLHF'd LLMs) exploit reward function flaws to maximize score without completing intended tasks. Covers modified-unit-test exploits, sycophancy, implications for agent training.","Essential follow-up to Weng's famous 2023 agents post; key for understanding agent training failure modes."
"Why We Think","https://lilianweng.github.io/posts/2025-05-01-thinking/","Lilian Weng","2025-05","foundational-concepts","S","Comprehensive review of test-time compute and chain-of-thought reasoning. Frames inference-time scaling through a System 1 / System 2 lens.","Defines the reasoning-models era foundation for agents."
"Extrinsic Hallucinations in LLMs","https://lilianweng.github.io/posts/2024-07-07-hallucination/","Lilian Weng","2024-07","foundational-concepts","B","Survey of how LLMs fabricate content unsupported by training data, detection methods (sampling consistency, calibration), and mitigation (RAG, fine-tuning for I-don't-know).","Reference more than reading material — but THE reference for agents that must ground outputs."
